,x,y
0,1.5333699820985203e-06,-74.72320556640625
1,1.533371346340573e-06,-73.5540771484375
2,1.5333728242694633e-06,-72.91096496582031
3,1.533374188511516e-06,-71.53117370605469
4,1.5333755527535686e-06,-74.41741943359375
5,1.533377030682459e-06,-72.36858367919922
6,1.5333783949245117e-06,-72.79916381835938
7,1.5333797591665643e-06,-74.30729675292969
8,1.5333812370954547e-06,-73.16935729980469
9,1.5333826013375074e-06,-73.91618347167969
10,1.53338396557956e-06,-70.78058624267578
11,1.5333854435084504e-06,-73.5774154663086
12,1.533386807750503e-06,-74.40931701660156
13,1.5333881719925557e-06,-73.74089050292969
14,1.5333896499214461e-06,-73.37657165527344
15,1.5333910141634988e-06,-71.82465362548828
16,1.5333923784055514e-06,-73.39896392822266
17,1.5333938563344418e-06,-75.23868560791016
18,1.5333952205764945e-06,-73.51436614990234
19,1.5333965848185471e-06,-71.14986419677734
20,1.5333979490605998e-06,-74.28953552246094
21,1.5333994269894902e-06,-71.14318084716797
22,1.5334007912315428e-06,-73.5457763671875
23,1.5334021554735955e-06,-72.32828521728516
24,1.5334036334024859e-06,-69.67893981933594
25,1.5334049976445385e-06,-74.13860321044922
26,1.5334063618865912e-06,-72.49047088623047
27,1.5334078398154816e-06,-74.59329986572266
28,1.5334092040575342e-06,-74.57716369628906
29,1.5334105682995869e-06,-70.82765197753906
30,1.5334120462284773e-06,-72.39141845703125
31,1.53341341047053e-06,-73.16935729980469
32,1.5334147747125826e-06,-73.73395538330078
33,1.533416252641473e-06,-71.40774536132812
34,1.5334176168835256e-06,-73.02176666259766
35,1.5334189811255783e-06,-73.37556457519531
36,1.533420345367631e-06,-73.64378356933594
37,1.5334218232965213e-06,-73.6847152709961
38,1.533423187538574e-06,-71.62723541259766
39,1.5334245517806266e-06,-73.1019287109375
40,1.533426029709517e-06,-73.85774993896484
41,1.5334273939515697e-06,-72.75645446777344
42,1.5334287581936223e-06,-71.03009796142578
43,1.5334302361225127e-06,-72.57887268066406
44,1.5334316003645654e-06,-72.626953125
45,1.533432964606618e-06,-73.51995849609375
46,1.5334344425355084e-06,-72.60768127441406
47,1.533435806777561e-06,-71.33234405517578
48,1.5334371710196137e-06,-73.10792541503906
49,1.5334386489485041e-06,-72.83605194091797
50,1.5334400131905568e-06,-73.42855072021484
51,1.5334413774326094e-06,-69.71624755859375
52,1.5334428553614998e-06,-72.09066772460938
53,1.5334442196035525e-06,-73.02323913574219
54,1.5334455838456051e-06,-73.43501281738281
55,1.5334469480876578e-06,-72.9909896850586
56,1.5334484260165482e-06,-72.02703857421875
57,1.5334497902586008e-06,-72.34990692138672
58,1.5334511545006535e-06,-71.828125
59,1.5334526324295439e-06,-72.74263763427734
60,1.5334539966715965e-06,-70.59346008300781
61,1.5334553609136492e-06,-73.1304931640625
62,1.5334568388425396e-06,-73.69844055175781
63,1.5334582030845922e-06,-72.29876708984375
64,1.533459567326645e-06,-72.8149642944336
65,1.5334610452555353e-06,-71.6293716430664
66,1.533462409497588e-06,-71.83595275878906
67,1.5334637737396406e-06,-72.24779510498047
68,1.533465251668531e-06,-71.59111785888672
69,1.5334666159105836e-06,-73.31849670410156
70,1.5334679801526363e-06,-70.53001403808594
71,1.533469344394689e-06,-73.24665069580078
72,1.5334708223235793e-06,-72.21835327148438
73,1.533472186565632e-06,-71.90705108642578
74,1.5334735508076847e-06,-70.8292007446289
75,1.533475028736575e-06,-73.7371597290039
76,1.5334763929786277e-06,-73.7319564819336
77,1.5334777572206804e-06,-72.58850860595703
78,1.5334792351495707e-06,-72.87469482421875
79,1.5334805993916234e-06,-70.63131713867188
80,1.533481963633676e-06,-72.89036560058594
81,1.5334834415625664e-06,-73.17407989501953
82,1.533484805804619e-06,-73.1083755493164
83,1.5334861700466718e-06,-71.84728240966797
84,1.5334876479755621e-06,-72.29879760742188
85,1.5334890122176148e-06,-72.57787322998047
86,1.5334903764596675e-06,-73.4227066040039
87,1.5334918543885578e-06,-73.68199920654297
88,1.5334932186306105e-06,-71.56269073486328
89,1.5334945828726632e-06,-73.76499938964844
90,1.5334959471147158e-06,-71.34432220458984
91,1.5334974250436062e-06,-72.77764892578125
92,1.5334987892856589e-06,-70.87024688720703
93,1.5335001535277115e-06,-72.96377563476562
94,1.533501631456602e-06,-72.25418853759766
95,1.5335029956986546e-06,-72.7251205444336
96,1.5335043599407072e-06,-72.8251953125
97,1.5335058378695976e-06,-70.55561828613281
98,1.5335072021116503e-06,-72.97977447509766
99,1.533508566353703e-06,-71.35374450683594
100,1.5335100442825933e-06,-72.03189086914062
101,1.533511408524646e-06,-72.36152648925781
102,1.5335127727666986e-06,-70.3045425415039
103,1.533514250695589e-06,-72.43031311035156
104,1.5335156149376417e-06,-73.18871307373047
105,1.5335169791796943e-06,-73.20863342285156
