,x,y
0,11064780487.8049,-64.7267888107168
1,11064975609.7561,-64.1298997867597
2,11065170731.7073,-64.297126551891
3,11065365853.6585,-64.6688608851062
4,11065560975.6098,-64.6587440246715
5,11065756097.561,-63.4499744202334
6,11065951219.5122,-62.5597710856589
7,11066146341.4634,-62.5812507535853
8,11066341463.4146,-63.5500119113538
9,11066536585.3659,-63.3964503720084
10,11066731707.3171,-63.6098747870022
11,11066926829.2683,-64.6546961321593
12,11067121951.2195,-64.4874521419535
13,11067317073.1707,-64.0625784538442
14,11067512195.122,-64.297126551891
15,11067707317.0732,-64.9446285864792
16,11067902439.0244,-64.6962544952844
17,11068097560.9756,-64.3623866175556
18,11068292682.9268,-64.2903398725301
19,11068487804.878,-65.3010326033717
20,11068682926.8293,-65.20678273729
21,11068878048.7805,-64.7645921075966
22,11069073170.7317,-64.608309006477
23,11069268292.6829,-64.7707414592002
24,11069463414.6341,-64.9237460544695
25,11069658536.5854,-65.4261096111526
26,11069853658.5366,-65.4415949531461
27,11070048780.4878,-64.5341952525092
28,11070243902.439,-63.9341310731489
29,11070439024.3902,-64.5003537227689
30,11070634146.3415,-64.7604982815524
31,11070829268.2927,-65.6363875792007
32,11071024390.2439,-64.4084636918965
33,11071219512.1951,-64.3653206219155
34,11071414634.1463,-64.3917668529951
35,11071609756.0976,-64.7227064680556
36,11071804878.0488,-64.8262521326866
37,11072000000.0,-64.9791993110408
38,11072195121.9512,-65.0529857885928
39,11072390243.9024,-65.0858684558514
40,11072585365.8537,-65.2035501649717
41,11072780487.8049,-64.8118290036219
42,11072975609.7561,-64.6962544952844
43,11073170731.7073,-64.7707414592002
44,11073365853.6585,-64.7953675740723
45,11073560975.6098,-64.1203858039332
46,11073756097.561,-64.177624726563
47,11073951219.5122,-64.1651939644511
48,11074146341.4634,-64.0919070140602
49,11074341463.4146,-64.3487099083867
50,11074536585.3659,-64.5511676926028
51,11074731707.3171,-64.0098467590471
52,11074926829.2683,-64.7400521180972
53,11075121951.2195,-64.9018702098292
54,11075317073.1707,-65.2619087174454
55,11075512195.122,-64.6891462811992
56,11075707317.0732,-64.8883542680225
57,11075902439.0244,-65.0572231569247
58,11076097560.9756,-64.2227257133478
59,11076292682.9268,-64.0220593368818
60,11076487804.878,-64.4045306332144
61,11076682926.8293,-64.3039247146348
62,11076878048.7805,-64.1394252529692
63,11077073170.7317,-63.402576756846
64,11077268292.6829,-63.2112291456953
65,11077463414.6341,-63.6314233552266
66,11077658536.5854,-64.7502665872875
67,11077853658.5366,-64.9341787079371
68,11078048780.4878,-65.0002196436466
69,11078243902.439,-64.8644975398124
70,11078439024.3902,-64.4340544109416
71,11078634146.3415,-64.2680678511758
72,11078829268.2927,-65.2575737403578
73,11079024390.2439,-64.8748612929819
74,11079219512.1951,-64.497373784877
75,11079414634.1463,-64.460713084607
76,11079609756.0976,-64.5942361205942
77,11079804878.0488,-64.4143604090738
78,11080000000.0,-64.747200524023
79,11080195121.9512,-65.0964963268302
80,11080390243.9024,-65.0075862338497
81,11080585365.8537,-64.1680590685129
82,11080780487.8049,-63.6557221936828
83,11080975609.7561,-64.2680678511758
84,11081170731.7073,-64.5671697868319
85,11081365853.6585,-65.1927844933968
86,11081560975.6098,-65.0318391387738
87,11081756097.561,-64.950904255296
88,11081951219.5122,-65.2575737403578
89,11082146341.4634,-65.1637889512882
90,11082341463.4146,-64.9687092406581
91,11082536585.3659,-64.2323545300044
92,11082731707.3171,-63.6584265303824
93,11082926829.2683,-63.6161561975104
94,11083121951.2195,-64.5541648555693
95,11083317073.1707,-64.4409559241326
96,11083512195.122,-64.8015398924419
97,11083707317.0732,-64.9341787079371
98,11083902439.0244,-63.7254033618075
99,11084097560.9756,-63.7554381500788
100,11084292682.9268,-64.6921893776977
101,11084487804.878,-65.20678273729
102,11084682926.8293,-64.8190405681542
103,11084878048.7805,-64.9760528640951
