,x,y
0,1.5333420151364408e-06,-74.76834869384766
1,1.5333433793784934e-06,-74.18869018554688
2,1.533344743620546e-06,-72.3067855834961
3,1.5333462215494365e-06,-70.29339599609375
4,1.5333475857914891e-06,-70.98401641845703
5,1.5333489500335418e-06,-71.29070281982422
6,1.5333504279624321e-06,-72.64375305175781
7,1.5333517922044848e-06,-70.10309600830078
8,1.5333531564465375e-06,-71.91360473632812
9,1.5333546343754278e-06,-71.90791320800781
10,1.5333559986174805e-06,-72.26458740234375
11,1.5333573628595332e-06,-72.83663940429688
12,1.5333588407884235e-06,-69.76522064208984
13,1.5333602050304762e-06,-71.80783081054688
14,1.5333615692725289e-06,-72.26729583740234
15,1.5333630472014192e-06,-71.92972564697266
16,1.533364411443472e-06,-73.08946990966797
17,1.5333657756855246e-06,-69.63017272949219
18,1.533367253614415e-06,-71.77912902832031
19,1.5333686178564676e-06,-73.59919738769531
20,1.5333699820985203e-06,-71.03597259521484
21,1.533371346340573e-06,-71.15369415283203
22,1.5333728242694633e-06,-73.10742950439453
23,1.533374188511516e-06,-72.18647003173828
24,1.5333755527535686e-06,-73.18460083007812
25,1.533377030682459e-06,-70.6896743774414
26,1.5333783949245117e-06,-70.75550079345703
27,1.5333797591665643e-06,-72.86107635498047
28,1.5333812370954547e-06,-72.30577850341797
29,1.5333826013375074e-06,-71.89442443847656
30,1.53338396557956e-06,-70.99221801757812
31,1.5333854435084504e-06,-72.39014434814453
32,1.533386807750503e-06,-72.17314910888672
33,1.5333881719925557e-06,-72.2623519897461
34,1.5333896499214461e-06,-72.57854461669922
35,1.5333910141634988e-06,-70.86328887939453
36,1.5333923784055514e-06,-71.06470489501953
37,1.5333938563344418e-06,-72.5945053100586
38,1.5333952205764945e-06,-71.41688537597656
39,1.5333965848185471e-06,-69.57636260986328
40,1.5333979490605998e-06,-73.19683074951172
41,1.5333994269894902e-06,-71.19888305664062
42,1.5334007912315428e-06,-72.4787826538086
43,1.5334021554735955e-06,-71.79573059082031
44,1.5334036334024859e-06,-69.05570220947266
