,x,y
0,1.533170006950968e-06,-74.92730712890625
1,1.5331718259403715e-06,-74.34896087646484
2,1.533173644929775e-06,-72.734619140625
3,1.5331753502323409e-06,-72.509521484375
4,1.5331771692217444e-06,-73.8364028930664
5,1.533178988211148e-06,-72.09710693359375
6,1.5331808072005515e-06,-76.1187515258789
7,1.533182626189955e-06,-73.30621337890625
8,1.5331844451793586e-06,-73.95453643798828
9,1.5331861504819244e-06,-74.36336517333984
10,1.533187969471328e-06,-72.52117156982422
11,1.5331897884607315e-06,-73.86128997802734
12,1.533191607450135e-06,-74.36421966552734
13,1.5331934264395386e-06,-73.79375457763672
14,1.5331952454289421e-06,-72.50188446044922
15,1.533196950731508e-06,-73.9350357055664
16,1.5331987697209115e-06,-73.82414245605469
17,1.533200588710315e-06,-71.59877014160156
18,1.5332024076997186e-06,-73.05501556396484
19,1.5332042266891222e-06,-73.7586441040039
20,1.5332060456785257e-06,-73.34129333496094
21,1.5332077509810915e-06,-73.93350219726562
22,1.533209569970495e-06,-75.07495880126953
23,1.5332113889598986e-06,-75.32170867919922
24,1.5332132079493022e-06,-71.51467895507812
25,1.5332150269387057e-06,-73.50331115722656
26,1.5332168459281093e-06,-74.72422790527344
27,1.533218551230675e-06,-73.32923126220703
28,1.5332203702200786e-06,-73.14066314697266
29,1.5332221892094822e-06,-73.38377380371094
30,1.5332240081988857e-06,-73.22803497314453
31,1.5332258271882893e-06,-71.42182159423828
32,1.5332276461776928e-06,-74.70765686035156
33,1.5332293514802586e-06,-73.01374816894531
34,1.5332311704696622e-06,-73.27140045166016
35,1.5332329894590657e-06,-73.2162857055664
36,1.5332348084484693e-06,-76.1126708984375
37,1.5332366274378728e-06,-73.36754608154297
38,1.5332384464272764e-06,-73.0081558227539
39,1.5332401517298422e-06,-73.32990264892578
40,1.5332419707192457e-06,-74.72330474853516
41,1.5332437897086493e-06,-72.645263671875
42,1.5332456086980528e-06,-72.57720184326172
43,1.5332474276874564e-06,-73.18251037597656
44,1.53324924667686e-06,-70.37484741210938
45,1.5332509519794257e-06,-71.2936782836914
46,1.5332527709688293e-06,-74.93189239501953
47,1.5332545899582328e-06,-71.62616729736328
48,1.5332564089476364e-06,-75.75809478759766
49,1.53325822793704e-06,-72.74839782714844
50,1.5332600469264435e-06,-73.70769500732422
51,1.5332617522290093e-06,-72.23226165771484
52,1.5332635712184128e-06,-71.45069122314453
53,1.5332653902078164e-06,-75.15351104736328
54,1.53326720919722e-06,-71.71525573730469
55,1.5332690281866235e-06,-72.48596954345703
56,1.533270847176027e-06,-71.26077270507812
57,1.5332725524785928e-06,-75.1965103149414
58,1.5332743714679964e-06,-74.11148071289062
59,1.5332761904574e-06,-75.26704406738281
