,x,y
0,1.5332619796026847e-06,-69.34815216064453
1,1.5332633438447374e-06,-69.40204620361328
2,1.5332648217736278e-06,-67.91118621826172
3,1.5332661860156804e-06,-68.45738220214844
4,1.533267550257733e-06,-68.53390502929688
5,1.5332690281866235e-06,-64.89908599853516
6,1.5332703924286761e-06,-67.81324768066406
7,1.5332717566707288e-06,-68.06301879882812
8,1.5332732345996192e-06,-68.23835754394531
9,1.5332745988416718e-06,-68.80906677246094
10,1.5332759630837245e-06,-66.01111602783203
11,1.5332774410126149e-06,-67.67340850830078
12,1.5332788052546675e-06,-68.88471984863281
13,1.5332801694967202e-06,-67.70518493652344
14,1.5332816474256106e-06,-64.53779602050781
15,1.5332830116676632e-06,-69.06884002685547
16,1.5332843759097159e-06,-67.24690246582031
17,1.5332858538386063e-06,-68.0710220336914
18,1.533287218080659e-06,-68.7453384399414
19,1.5332885823227116e-06,-65.76256561279297
20,1.5332899465647643e-06,-67.92535400390625
21,1.5332914244936546e-06,-68.61029052734375
22,1.5332927887357073e-06,-69.16291046142578
23,1.53329415297776e-06,-67.29474639892578
24,1.5332956309066503e-06,-65.73030090332031
25,1.533296995148703e-06,-69.20950317382812
26,1.5332983593907556e-06,-68.60778045654297
27,1.533299837319646e-06,-66.86553955078125
28,1.5333012015616987e-06,-65.31476593017578
29,1.5333025658037513e-06,-67.08871459960938
30,1.5333040437326417e-06,-68.1822280883789
31,1.5333054079746944e-06,-69.42832946777344
32,1.533306772216747e-06,-67.17256164550781
33,1.5333082501456374e-06,-65.56228637695312
34,1.53330961438769e-06,-67.4736557006836
35,1.5333109786297427e-06,-67.7349624633789
36,1.5333124565586331e-06,-68.04076385498047
37,1.5333138208006858e-06,-65.25991821289062
38,1.5333151850427384e-06,-67.8896484375
39,1.5333165492847911e-06,-69.20950317382812
40,1.5333180272136815e-06,-68.44327545166016
41,1.5333193914557341e-06,-67.47481536865234
42,1.5333207556977868e-06,-65.71475982666016
43,1.5333222336266772e-06,-68.18634033203125
44,1.5333235978687298e-06,-68.55225372314453
45,1.5333249621107825e-06,-67.47124481201172
46,1.5333264400396729e-06,-67.67118835449219
47,1.5333278042817255e-06,-66.25262451171875
48,1.5333291685237782e-06,-68.63961791992188
49,1.5333306464526686e-06,-68.11698150634766
50,1.5333320106947212e-06,-68.68397521972656
51,1.533333374936774e-06,-65.78831481933594
52,1.5333348528656643e-06,-67.1693115234375
53,1.533336217107717e-06,-68.25682067871094
54,1.5333375813497696e-06,-67.40670013427734
55,1.5333389455918223e-06,-68.27356719970703
56,1.5333404235207126e-06,-66.15880584716797
57,1.5333417877627653e-06,-67.12077331542969
58,1.533343152004818e-06,-69.01775360107422
59,1.5333446299337083e-06,-67.41472625732422
60,1.533345994175761e-06,-65.44258880615234
61,1.5333473584178137e-06,-68.14948272705078
62,1.533348836346704e-06,-67.60713958740234
63,1.5333502005887567e-06,-69.07792663574219
64,1.5333515648308094e-06,-68.44327545166016
65,1.5333530427596997e-06,-64.99955749511719
66,1.5333544070017524e-06,-67.74857330322266
67,1.533355771243805e-06,-67.99330139160156
68,1.5333572491726954e-06,-68.63505554199219
69,1.5333586134147481e-06,-66.02009582519531
70,1.5333599776568008e-06,-68.10755157470703
71,1.5333614555856911e-06,-66.98873138427734
72,1.5333628198277438e-06,-68.75682830810547
73,1.5333641840697965e-06,-68.79766082763672
74,1.5333655483118491e-06,-65.65618896484375
75,1.5333670262407395e-06,-68.30162811279297
76,1.5333683904827922e-06,-68.05802917480469
77,1.5333697547248448e-06,-68.22627258300781
78,1.5333712326537352e-06,-67.81476593017578
79,1.5333725968957879e-06,-65.45133972167969
80,1.5333739611378405e-06,-67.46087646484375
81,1.533375439066731e-06,-67.30045318603516
82,1.5333768033087836e-06,-67.53475189208984
83,1.5333781675508362e-06,-65.46790313720703
84,1.5333796454797266e-06,-67.70564270019531
85,1.5333810097217793e-06,-67.01382446289062
86,1.533382373963832e-06,-67.99491882324219
87,1.5333838518927223e-06,-67.02010345458984
88,1.533385216134775e-06,-65.35071563720703
89,1.5333865803768276e-06,-67.47148895263672
90,1.5333879446188803e-06,-68.18396759033203
91,1.5333894225477707e-06,-67.77617645263672
92,1.5333907867898233e-06,-65.22412109375
93,1.533392151031876e-06,-66.6979751586914
94,1.5333936289607664e-06,-67.5477523803711
95,1.533394993202819e-06,-67.70318603515625
96,1.5333963574448717e-06,-66.52342224121094
97,1.533397835373762e-06,-64.6936264038086
98,1.5333991996158147e-06,-65.25386047363281
99,1.5334005638578674e-06,-63.30244445800781
100,1.5334020417867578e-06,-62.504859924316406
101,1.5334034060288104e-06,-61.66197204589844
102,1.533404770270863e-06,-59.011253356933594
103,1.5334062481997535e-06,-58.25593566894531
104,1.5334076124418061e-06,-55.29426574707031
105,1.5334089766838588e-06,-55.966209411621094
106,1.5334104546127492e-06,-52.268890380859375
107,1.5334118188548018e-06,-53.57963180541992
108,1.5334131830968545e-06,-51.03157043457031
109,1.5334145473389071e-06,-51.505191802978516
110,1.5334160252677975e-06,-49.89828872680664
111,1.5334173895098502e-06,-51.22449493408203
112,1.5334187537519028e-06,-50.02067184448242
113,1.5334202316807932e-06,-51.408992767333984
114,1.5334215959228459e-06,-50.17082977294922
115,1.5334229601648985e-06,-50.90635681152344
116,1.533424438093789e-06,-50.72953796386719
117,1.5334258023358416e-06,-50.92777633666992
118,1.5334271665778942e-06,-49.89542007446289
119,1.5334286445067846e-06,-51.18460464477539
120,1.5334300087488373e-06,-49.700557708740234
121,1.53343137299089e-06,-49.086910247802734
122,1.5334328509197803e-06,-49.31437683105469
123,1.533434215161833e-06,-49.425106048583984
124,1.5334355794038856e-06,-48.19475555419922
125,1.5334369436459383e-06,-48.12105178833008
126,1.5334384215748287e-06,-48.81973648071289
127,1.5334397858168813e-06,-47.241241455078125
128,1.533441150058934e-06,-47.57903289794922
129,1.5334426279878244e-06,-47.645538330078125
130,1.533443992229877e-06,-45.14297103881836
131,1.5334453564719297e-06,-46.57704544067383
132,1.53344683440082e-06,-44.32894515991211
133,1.5334481986428727e-06,-43.73603820800781
134,1.5334495628849254e-06,-42.484920501708984
135,1.5334510408138158e-06,-42.405128479003906
136,1.5334524050558684e-06,-41.49327850341797
137,1.533453769297921e-06,-41.66614532470703
138,1.5334552472268115e-06,-40.966835021972656
139,1.5334566114688641e-06,-40.71338653564453
140,1.5334579757109168e-06,-42.20425033569336
141,1.5334594536398072e-06,-40.79298782348633
142,1.5334608178818598e-06,-40.34134292602539
143,1.5334621821239125e-06,-38.53530502319336
144,1.5334635463659652e-06,-39.279075622558594
145,1.5334650242948555e-06,-35.20879364013672
146,1.5334663885369082e-06,-33.95935821533203
147,1.5334677527789609e-06,-32.49284362792969
148,1.5334692307078512e-06,-29.869691848754883
149,1.533470594949904e-06,-31.682497024536133
150,1.5334719591919566e-06,-27.952848434448242
151,1.533473437120847e-06,-28.249324798583984
152,1.5334748013628996e-06,-28.390188217163086
153,1.5334761656049523e-06,-28.292686462402344
154,1.5334776435338426e-06,-25.875137329101562
155,1.5334790077758953e-06,-25.641416549682617
156,1.533480372017948e-06,-26.250486373901367
157,1.5334818499468383e-06,-26.445249557495117
158,1.533483214188891e-06,-28.587520599365234
159,1.5334845784309437e-06,-29.549339294433594
160,1.533486056359834e-06,-28.37978172302246
161,1.5334874206018867e-06,-29.9243221282959
162,1.5334887848439394e-06,-31.342758178710938
163,1.533490149085992e-06,-31.014495849609375
164,1.5334916270148824e-06,-35.313785552978516
165,1.533492991256935e-06,-35.684349060058594
166,1.5334943554989877e-06,-34.5295524597168
167,1.533495833427878e-06,-33.71727752685547
168,1.5334971976699308e-06,-34.83058547973633
169,1.5334985619119834e-06,-33.345767974853516
170,1.5335000398408738e-06,-33.733131408691406
171,1.5335014040829265e-06,-31.341079711914062
172,1.5335027683249791e-06,-34.92043685913086
173,1.5335042462538695e-06,-39.597469329833984
174,1.5335056104959222e-06,-39.381465911865234
175,1.5335069747379748e-06,-38.57855224609375
176,1.5335084526668652e-06,-38.978759765625
177,1.5335098169089179e-06,-38.50783920288086
178,1.5335111811509705e-06,-38.35304260253906
179,1.5335125453930232e-06,-38.26936340332031
180,1.5335140233219136e-06,-38.07957077026367
181,1.5335153875639662e-06,-38.4160041809082
182,1.5335167518060189e-06,-39.09859848022461
183,1.5335182297349093e-06,-39.39817810058594
184,1.533519593976962e-06,-39.63621520996094
185,1.5335209582190146e-06,-40.712554931640625
186,1.533522436147905e-06,-41.424800872802734
187,1.5335238003899576e-06,-42.122802734375
188,1.5335251646320103e-06,-40.410438537597656
189,1.5335266425609007e-06,-39.752567291259766
190,1.5335280068029533e-06,-39.190940856933594
191,1.533529371045006e-06,-39.18146896362305
192,1.5335308489738964e-06,-38.53180694580078
193,1.533532213215949e-06,-38.941158294677734
194,1.5335335774580017e-06,-38.926334381103516
195,1.533535055386892e-06,-39.209190368652344
196,1.5335364196289447e-06,-39.72180938720703
197,1.5335377838709974e-06,-40.11088180541992
198,1.53353914811305e-06,-40.3602409362793
199,1.5335406260419404e-06,-42.26087951660156
200,1.533541990283993e-06,-43.26422119140625
201,1.5335433545260457e-06,-44.624149322509766
202,1.5335448324549361e-06,-45.571537017822266
203,1.5335461966969888e-06,-47.26518249511719
204,1.5335475609390414e-06,-48.77679443359375
205,1.5335490388679318e-06,-51.17662811279297
206,1.5335504031099845e-06,-50.64016342163086
207,1.5335517673520371e-06,-48.40602111816406
208,1.5335532452809275e-06,-50.48065185546875
209,1.5335546095229802e-06,-50.15177917480469
210,1.5335559737650328e-06,-49.94672775268555
211,1.5335574516939232e-06,-49.276859283447266
212,1.5335588159359759e-06,-46.865692138671875
213,1.5335601801780285e-06,-48.7988166809082
214,1.5335615444200812e-06,-46.25432586669922
