,x,y
0,1.5331819440689287e-06,-70.85295867919922
1,1.533183421997819e-06,-68.06269073486328
2,1.5331847862398718e-06,-68.52452850341797
3,1.5331861504819244e-06,-66.98832702636719
4,1.5331876284108148e-06,-70.3719711303711
5,1.5331889926528675e-06,-67.59596252441406
6,1.5331903568949201e-06,-67.57686614990234
7,1.5331918348238105e-06,-67.61754608154297
8,1.5331931990658632e-06,-67.55667114257812
9,1.5331945633079158e-06,-69.7325439453125
10,1.5331960412368062e-06,-67.68904876708984
11,1.5331974054788589e-06,-65.99388122558594
12,1.5331987697209115e-06,-69.69359588623047
13,1.533200247649802e-06,-67.96915435791016
14,1.5332016118918546e-06,-68.94731903076172
15,1.5332029761339072e-06,-66.02542114257812
16,1.5332044540627976e-06,-68.84088897705078
17,1.5332058183048503e-06,-68.86164855957031
18,1.533207182546903e-06,-66.65451049804688
19,1.5332085467889556e-06,-68.33229064941406
20,1.533210024717846e-06,-66.44391632080078
21,1.5332113889598986e-06,-69.5445327758789
22,1.5332127532019513e-06,-68.16315460205078
23,1.5332142311308417e-06,-68.00086212158203
24,1.5332155953728943e-06,-66.51981353759766
25,1.533216959614947e-06,-67.72486114501953
26,1.5332184375438374e-06,-67.39282989501953
27,1.53321980178589e-06,-70.28799438476562
28,1.5332211660279427e-06,-67.86894226074219
29,1.533222643956833e-06,-67.56873321533203
30,1.5332240081988857e-06,-68.0126953125
31,1.5332253724409384e-06,-68.24807739257812
32,1.5332268503698288e-06,-70.02067565917969
33,1.5332282146118814e-06,-67.19314575195312
34,1.533229578853934e-06,-68.87828826904297
35,1.5332310567828245e-06,-69.01211547851562
36,1.5332324210248771e-06,-68.89116668701172
37,1.5332337852669298e-06,-67.81450653076172
38,1.5332351495089824e-06,-66.99077606201172
39,1.5332366274378728e-06,-68.6915512084961
40,1.5332379916799255e-06,-67.55330657958984
41,1.5332393559219781e-06,-67.8498764038086
42,1.5332408338508685e-06,-68.44718170166016
43,1.5332421980929212e-06,-66.1718521118164
44,1.5332435623349738e-06,-69.66938781738281
45,1.5332450402638642e-06,-66.51422119140625
46,1.5332464045059169e-06,-69.57402801513672
47,1.5332477687479695e-06,-66.96586608886719
48,1.53324924667686e-06,-68.80339813232422
49,1.5332506109189126e-06,-68.68497467041016
50,1.5332519751609652e-06,-68.17638397216797
51,1.5332534530898556e-06,-67.90989685058594
52,1.5332548173319083e-06,-67.06635284423828
53,1.533256181573961e-06,-68.72047424316406
54,1.5332575458160136e-06,-69.81448364257812
55,1.533259023744904e-06,-68.3195571899414
56,1.5332603879869566e-06,-67.94087219238281
57,1.5332617522290093e-06,-67.42091369628906
58,1.5332632301578997e-06,-70.87261199951172
59,1.5332645943999523e-06,-68.07235717773438
60,1.533265958642005e-06,-67.01058959960938
